extra/bashbrew 0.1.13-1
extra/container-diff 0.19.0-2
extra/dive 0.13.0-1
extra/docker 1:28.1.1-1 [installed]
extra/docker-buildx 0.23.0-1
extra/docker-compose 2.35.1-1
extra/docker-machine 0.16.2-6
extra/drone-runner-docker 1.8.4-1
extra/ducker 0.3.0-1
extra/kompose 1.35.0-1
extra/nerdctl 2.0.4-2
extra/podman-compose 1.3.0-1
extra/podman-docker 5.4.2-2
extra/python-docker 7.1.0-3
